T,B,E,M
2.3,0.0,0.00390625,-0.015625
2.3,0.025,-1.2220459,0.17089844
2.3,0.05,-1.2558838,0.31298828
2.3,0.075,-1.4661133,0.66796875
2.3,0.1,-1.6010253,0.8149414
2.3,0.125,-1.6779175,0.84521484
2.3,0.15,-1.7908691,0.8779297
2.3,0.175,-1.7246826,0.8486328
2.3,0.2,-1.8405273,0.89208984
2.3,0.22500001,-1.8624878,0.88623047
2.3,0.25,-1.925415,0.9008789
2.3,0.22500001,-1.8601929,0.8803711
2.3,0.2,-1.8669922,0.8925781
2.3,0.175,-1.7959229,0.88183594
2.3,0.15,-1.8453614,0.9091797
2.3,0.125,-1.7017822,0.8564453
2.3,0.1,-1.6889648,0.8642578
2.3,0.075,-1.6575928,0.8642578
2.3,0.05,-1.5638916,0.80908203
2.3,0.025,-1.5009766,0.78125
2.3,0.0,-1.4873047,0.7709961
2.3,-0.025,-1.3842529,0.6845703
2.3,-0.05,-1.3023193,0.49658203
2.3,-0.075,-1.1656494,0.16113281
2.3,-0.1,-1.3271973,-0.33251953
2.3,-0.125,-1.6094971,-0.75878906
2.3,-0.15,-1.7269531,-0.85546875
2.3,-0.175,-1.7898438,-0.875
2.3,-0.2,-1.7975585,-0.8725586
2.3,-0.22500001,-1.8678223,-0.8925781
2.3,-0.25,-1.9223633,-0.9042969
2.3,-0.22500001,-1.8474,-0.88427734
2.3,-0.2,-1.8487304,-0.88916016
2.3,-0.175,-1.7749755,-0.86816406
2.3,-0.15,-1.785376,-0.8803711
2.3,-0.125,-1.6613159,-0.83740234
2.3,-0.1,-1.7472168,-0.87060547
2.3,-0.075,-1.6201293,-0.8334961
2.3,-0.05,-1.6055664,-0.8222656
2.3,-0.025,-1.5265503,-0.7885742
2.3,0.0,-1.4423828,-0.75439453
2.3,0.025,-1.3483765,-0.6352539
2.3,0.05,-1.2834961,-0.46289062
2.3,0.075,-1.3111328,-0.03125
2.3,0.1,-1.4002441,0.47705078
2.3,0.125,-1.6582642,0.7973633
2.3,0.15,-1.7364746,0.86035156
2.3,0.175,-1.702954,0.81933594
2.3,0.2,-1.8544922,0.8935547
2.3,0.22500001,-1.8687012,0.8964844
